n,era5_mean,conus404_mean,bias,mae,rmse,pearson_r,pearson_pvalue,r_squared,nrmse,n_era5,n_conus404,mean_difference,era5_std,conus404_std,std_ratio,ks_statistic,ks_pvalue,p50_era5,p50_conus404,p50_difference,p50_percent_bias,p75_era5,p75_conus404,p75_difference,p75_percent_bias,p90_era5,p90_conus404,p90_difference,p90_percent_bias,p95_era5,p95_conus404,p95_difference,p95_percent_bias,p99_era5,p99_conus404,p99_difference,p99_percent_bias,year,season,variable,variable_name,units
92,-0.221319,-0.630596,-0.409276,0.526128,0.639152,0.795401,0.000000,0.632662,0.812377,92,92,-0.409276,0.786768,0.509070,0.647039,0.326087,0.000100,-0.226371,-0.594965,-0.368594,-162.827438,0.340054,-0.305808,-0.645862,-189.929474,0.704840,0.013110,-0.691730,-98.139977,0.911106,0.229001,-0.682105,-74.865601,1.295298,0.336558,-0.958740,-74.016937,1981,Spring,v10,10m V-Wind,m/s
92,0.358309,-0.227070,-0.585379,0.585808,0.633702,0.828974,0.000000,0.687199,1.470436,92,92,-0.585379,0.430962,0.385794,0.895192,0.543478,0.000000,0.369308,-0.276129,-0.645437,-174.769348,0.698707,0.042236,-0.656471,-93.955139,0.895945,0.341281,-0.554664,-61.908237,0.981527,0.423372,-0.558155,-56.865993,1.171572,0.605497,-0.566075,-48.317554,1981,Summer,v10,10m V-Wind,m/s
91,-0.322484,-0.618980,-0.296496,0.420298,0.497651,0.662988,0.000000,0.439554,0.987244,91,91,-0.296496,0.504081,0.465877,0.924210,0.274725,0.001979,-0.276944,-0.634743,-0.357799,-129.195557,-0.013926,-0.280995,-0.267069,-1917.798828,0.316111,-0.030904,-0.347015,-109.776337,0.439514,0.165376,-0.274138,-62.372906,0.953544,0.356092,-0.597452,-62.655933,1981,Autumn,v10,10m V-Wind,m/s
90,0.830802,0.331048,-0.499754,0.499754,0.499887,0.630115,0.000000,0.397045,35.357105,90,90,-0.499754,0.014138,0.012363,0.874405,1.000000,0.000000,0.825802,0.326637,-0.499165,-60.446117,0.838845,0.339585,-0.499260,-59.517548,0.851528,0.350299,-0.501229,-58.862278,0.861069,0.354252,-0.506817,-58.859070,0.868702,0.359920,-0.508782,-58.568096,1981,Winter,lai,Leaf Area Index,Index
92,1.071378,0.579609,-0.491769,0.491769,0.491963,0.998167,0.000000,0.996337,2.965908,92,92,-0.491769,0.165873,0.175065,1.055416,0.902174,0.000000,1.039403,0.528508,-0.510894,-49.152695,1.212397,0.724573,-0.487824,-40.236309,1.317859,0.848188,-0.469671,-35.638927,1.353485,0.891359,-0.462126,-34.143425,1.381986,0.925877,-0.456108,-33.003838,1981,Spring,lai,Leaf Area Index,Index
92,1.543955,1.122746,-0.421209,0.421209,0.421344,0.998140,0.000000,0.996283,7.007932,92,92,-0.421209,0.060124,0.069993,1.164152,1.000000,0.000000,1.561647,1.145002,-0.416645,-26.679853,1.593155,1.178816,-0.414338,-26.007414,1.611411,1.200102,-0.411309,-25.524755,1.618217,1.206260,-0.411957,-25.457464,1.622969,1.212174,-0.410795,-25.311325,1981,Summer,lai,Leaf Area Index,Index
91,1.091397,0.608373,-0.483024,0.483024,0.483901,0.999799,0.000000,0.999599,2.719544,91,91,-0.483024,0.177934,0.206800,1.162224,0.824176,0.000000,1.029400,0.541798,-0.487602,-47.367596,1.246184,0.789526,-0.456658,-36.644508,1.368852,0.927034,-0.441818,-32.276527,1.401409,0.964713,-0.436697,-31.161259,1.427456,0.994855,-0.432600,-30.305698,1981,Autumn,lai,Leaf Area Index,Index
90,276.045776,276.086487,0.040725,0.566994,0.722775,0.986811,0.000000,0.973797,0.201845,90,90,0.040710,3.580845,3.103787,0.866775,0.066667,0.989059,275.483582,275.535828,0.052246,0.018965,278.653076,278.740234,0.087158,0.031278,280.986725,280.384338,-0.602386,-0.214383,282.152100,281.298523,-0.853577,-0.302524,283.322205,282.888367,-0.433838,-0.153125,1982,Winter,t2m,2m Temperature,K
92,284.691254,283.979584,-0.711669,0.747007,0.847806,0.995401,0.000000,0.990824,0.198134,92,92,-0.711670,4.278949,4.048801,0.946214,0.108696,0.651538,284.492249,283.993713,-0.498535,-0.175237,287.955688,287.281738,-0.673950,-0.234046,290.202240,289.295197,-0.907043,-0.312556,291.344452,290.257111,-1.087341,-0.373215,291.658356,290.526794,-1.131561,-0.387975,1982,Spring,t2m,2m Temperature,K
92,294.356842,293.529846,-0.826999,0.826999,0.857670,0.990589,0.000000,0.981266,0.526431,92,92,-0.826996,1.629217,1.569806,0.963534,0.336957,0.000050,294.711792,293.963745,-0.748047,-0.253823,295.800323,294.921722,-0.878601,-0.297025,296.229279,295.186768,-1.042511,-0.351927,296.362610,295.351715,-1.010895,-0.341101,296.436768,295.493256,-0.943512,-0.318284,1982,Summer,t2m,2m Temperature,K
91,286.894684,286.875763,-0.018982,0.356688,0.443521,0.996325,0.000000,0.992664,0.095279,91,91,-0.018921,4.654954,4.444481,0.954785,0.076923,0.952399,286.890900,287.199646,0.308746,0.107618,290.558716,290.760498,0.201782,0.069446,293.062286,292.699829,-0.362457,-0.123679,294.106140,293.431763,-0.674377,-0.229297,294.706268,294.261261,-0.445007,-0.151000,1982,Autumn,t2m,2m Temperature,K
90,271.010132,271.868591,0.858442,0.872507,1.071139,0.990435,0.000000,0.980961,0.274543,90,90,0.858459,3.901530,3.516934,0.901424,0.133333,0.402289,270.595734,271.358429,0.762695,0.281858,273.623230,274.609161,0.985931,0.360324,276.344635,276.569489,0.224854,0.081367,277.515076,277.632660,0.117584,0.042370,279.983154,279.996307,0.013153,0.004698,1982,Winter,d2m,2m Dewpoint,K
92,277.805939,278.277679,0.471697,0.579909,0.704680,0.991673,0.000000,0.983415,0.174980,92,92,0.471741,4.027212,3.922326,0.973956,0.086957,0.880159,277.682770,277.781799,0.099030,0.035663,280.570099,281.353241,0.783142,0.279125,283.551666,283.631866,0.080200,0.028284,284.761200,284.811523,0.050323,0.017672,285.349823,285.014587,-0.335236,-0.117482,1982,Spring,d2m,2m Dewpoint,K
92,287.498993,287.199646,-0.299345,0.360659,0.439300,0.991724,0.000000,0.983517,0.245459,92,92,-0.299347,1.789713,1.550001,0.866061,0.260870,0.003677,288.117157,287.666718,-0.450439,-0.156339,288.829193,288.375275,-0.453918,-0.157158,289.280609,288.703522,-0.577087,-0.199491,289.561279,288.985931,-0.575348,-0.198696,289.969116,289.249939,-0.719177,-0.248019,1982,Summer,d2m,2m Dewpoint,K
91,281.083099,281.819977,0.736863,0.784378,0.977933,0.992316,0.000000,0.984690,0.222996,91,91,0.736877,4.385432,4.006846,0.913672,0.142857,0.312341,281.123474,282.293427,1.169952,0.416170,284.612885,285.075134,0.462250,0.162414,286.864227,286.867279,0.003052,0.001064,287.396240,287.301514,-0.094727,-0.032960,287.759674,287.643738,-0.115936,-0.040289,1982,Autumn,d2m,2m Dewpoint,K
90,956.575256,96751.125000,95794.546875,95794.546875,95794.976562,0.965182,0.000000,0.931575,29782.996094,90,90,95794.546875,3.216432,289.322998,89.951538,1.000000,0.000000,956.185730,96727.906250,95771.718750,10016.016602,958.690186,96936.812500,95978.125000,10011.379883,961.440063,97164.273438,96202.835938,10006.119141,962.199036,97205.093750,96242.898438,10002.389648,963.442261,97355.554688,96392.109375,10004.969727,1982,Winter,sp,Surface Pressure,hPa
92,954.993896,96624.453125,95669.453125,95669.453125,95669.750000,0.959801,0.000000,0.921218,37237.058594,92,92,95669.460938,2.569208,233.149673,90.747681,1.000000,0.000000,954.730957,96648.156250,95693.421875,10023.077148,956.753296,96803.484375,95846.734375,10017.915039,958.031433,96878.414062,95920.382812,10012.237305,959.324707,97014.960938,96055.632812,10012.837891,961.490295,97137.781250,96176.289062,10002.834961,1982,Spring,sp,Surface Pressure,hPa
92,956.169250,96692.562500,95736.398438,95736.398438,95736.523438,0.970883,0.000000,0.942614,53575.371094,92,92,95736.390625,1.786950,161.952637,90.630745,1.000000,0.000000,956.176941,96680.890625,95724.710938,10011.192383,957.546448,96810.054688,95852.507812,10010.220703,958.473022,96913.695312,95955.218750,10011.259766,958.997925,96955.593750,95996.593750,10010.093750,959.781982,97040.148438,96080.367188,10010.645508,1982,Summer,sp,Surface Pressure,hPa
